Ranking,Title,Type,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members,Duaration,Quantity Genres,Quantity Theme
1,Fullmetal Alchemist: Brotherhood,TV,"Apr 5, 2009 to Jul 4, 2010",64,24 min. per ep.,9.14,Manga,"Action,Adventure,Drama,Fantasy",Military,Funimation,"Aniplex,Square Enix,Mainichi Broadcasting System,Studio Moriken",R ,Finished Airing,Bones,"2,893,578",1536.0,4,1
2,Gintama°,TV,"Apr 8, 2015 to Mar 30, 2016",51,24 min. per ep.,9.08,Manga,"Action,Comedy,Sci-Fi","Gag Humor,Historical,Parody,Samurai",Funimation,"TV Tokyo,Aniplex,Dentsu",PG,Finished Airing,Bandai Namco Pictures,"537,065",1224.0,3,4
3,Steins;Gate,TV,"Apr 6, 2011 to Sep 14, 2011",24,24 min. per ep.,9.08,Visual novel,"Drama,Sci-Fi,Suspense","Psychological,Time Travel",Funimation,"Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,Nitroplus",PG,Finished Airing,White Fox,"2,245,494",576.0,3,2
4,Shingeki no Kyojin Season 3 Part 2,TV,"Apr 29, 2019 to Jul 1, 2019",10,23 min. per ep.,9.07,Manga,"Action,Drama","Gore,Military,Survival",Funimation,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Techno Sound,Pony Canyon Enterprise",R ,Finished Airing,Wit Studio,"1,848,076",230.0,2,3
5,Gintama',TV,"Apr 4, 2011 to Mar 26, 2012",51,24 min. per ep.,9.05,Manga,"Action,Comedy,Sci-Fi","Gag Humor,Historical,Parody,Samurai",add some,"TV Tokyo,Aniplex,Dentsu,Trinity Sound,Miracle Robo,Studio Jack,Shueisha",PG,Finished Airing,Sunrise,"473,422",1224.0,3,4
6,Gintama: The Final,Movie,8-Jan-21,1,1 hr. 44 min.,9.05,Manga,"Action,Comedy,Drama,Sci-Fi","Gag Humor,Historical,Parody,Samurai",Eleven Arts,"TV Tokyo,Warner Bros. Japan",PG,Finished Airing,Bandai Namco Pictures,"103,866",104.0,4,4
7,Hunter x Hunter (2011),TV,"Oct 2, 2011 to Sep 24, 2014",148,23 min. per ep.,9.05,Manga,"Action,Adventure,Fantasy",None,VIZ Media,"VAP,Nippon Television Network,Shueisha",PG,Finished Airing,Madhouse,"2,382,431",3404.0,3,0
8,Gintama': Enchousen,TV,"Oct 4, 2012 to Mar 28, 2013",13,24 min. per ep.,9.04,Manga,"Action,Comedy,Sci-Fi","Gag Humor,Historical,Parody,Samurai",add some,"TV Tokyo,Aniplex,Dentsu,Shueisha,Miracle Bus",PG,Finished Airing,Sunrise,"282,286",312.0,3,4
9,Fruits Basket: The Final,TV,"Apr 6, 2021 to Jun 29, 2021",13,23 min. per ep.,9.03,Manga,"Drama,Romance,Supernatural",None,Funimation,"TV Tokyo,TV Osaka,Nihon Ad Systems,Hakusensha,Avex Pictures,TMS Music,8PAN",PG,Finished Airing,TMS Entertainment,"351,016",299.0,3,0
10,Ginga Eiyuu Densetsu,OVA,"Jan 8, 1988 to Mar 17, 1997",110,26 min. per ep.,9.03,Novel,"Drama,Sci-Fi","Adult Cast,Military,Space",Sentai Filmworks,"TV Tokyo,Kitty Films,Tokuma Shoten,Tokuma Japan Communications,Wright Staff",R ,Finished Airing,K-Factory,"280,665",2860.0,2,3
